"","x"
"1",400
"2",528
"3",346
"4",433
"5",257
"6",360
"7",445
"8",570
"9",517
"10",394
"11",704
"12",413
"13",988
"14",414
"15",492
"16",497
"17",431
"18",625
"19",499
"20",460
"21",551
"22",583
"23",523
"24",688
"25",500
"26",476
"27",543
"28",463
"29",539
"30",548
"31",531
"32",610
"33",411
"34",407
"35",515
"36",661
"37",625
"38",660
"39",565
"40",571
"41",527
"42",663
"43",535
"44",603
"45",434
"46",402
"47",457
"48",527
"49",657
"50",572
"51",613
"52",518
"53",515
"54",433
"55",506
"56",490
"57",495
"58",398
"59",560
"60",399
"61",423
"62",538
"63",547
"64",420
"65",423
"66",509
"67",415
"68",463
"69",400
"70",375
"71",429
"72",348
"73",489
"74",740
"75",756
"76",502
"77",488
"78",518
"79",719
"80",741
"81",566
"82",628
"83",603
"84",639
"85",636
"86",618
"87",526
"88",636
"89",401
"90",605
"91",455
"92",623
"93",614
"94",440
"95",539
"96",543
"97",525
"98",531
"99",416
"100",533
"101",559
"102",490
"103",536
"104",533
"105",523
"106",458
"107",496
"108",540
"109",464
"110",643
"111",565
"112",364
"113",446
"114",474
"115",596
"116",525
"117",462
"118",632
"119",506
"120",782
"121",663
"122",409
"123",406
"124",541
"125",488
"126",509
"127",402
"128",453
"129",427
"130",427
"131",383
"132",385
"133",551
"134",369
"135",546
"136",492
"137",481
"138",370
"139",515
"140",621
"141",524
"142",499
"143",426
"144",422
"145",456
"146",581
"147",538
"148",737
"149",665
"150",657
"151",686
"152",729
"153",539
"154",686
"155",641
"156",601
"157",566
"158",606
"159",545
"160",518
"161",630
"162",614
"163",435
"164",651
"165",561
"166",478
"167",524
"168",435
"169",636
"170",444
"171",494
"172",541
"173",403
"174",493
"175",522
"176",435
"177",576
"178",486
"179",519
"180",519
"181",574
"182",501
"183",522
"184",480
"185",477
"186",557
"187",601
"188",600
"189",628
"190",379
"191",702
"192",625
"193",401
"194",540
"195",788
"196",712
"197",802
"198",707
"199",712
"200",657
"201",578
"202",633
"203",666
"204",543
"205",655
"206",470
"207",423
"208",502
"209",466
"210",653
"211",547
"212",576
"213",603
"214",603
"215",642
"216",641
"217",928
"218",615
"219",894
"220",675
"221",648
"222",731
"223",548
"224",371
