"","x"
"1",321
"2",405
"3",604
"4",462
"5",626
"6",244
"7",357
"8",408
"9",650
"10",392
"11",460
"12",716
"13",518
"14",510
"15",621
"16",604
"17",511
"18",634
"19",573
"20",606
"21",542
"22",398
"23",509
"24",436
"25",291
"26",461
"27",608
"28",574
"29",524
"30",450
"31",545
"32",601
"33",568
"34",526
"35",711
"36",736
"37",581
"38",631
"39",765
"40",547
"41",491
"42",683
"43",612
"44",671
"45",510
"46",453
"47",579
"48",592
"49",532
"50",602
"51",769
"52",556
"53",516
"54",487
"55",429
"56",619
"57",428
"58",600
"59",466
"60",445
"61",504
"62",483
"63",430
"64",443
"65",917
"66",422
"67",527
"68",405
"69",414
"70",529
"71",628
"72",380
"73",725
"74",588
"75",523
"76",635
"77",578
"78",645
"79",540
"80",565
"81",599
"82",578
"83",531
"84",606
"85",651
"86",721
"87",532
"88",603
"89",653
"90",453
"91",499
"92",447
"93",719
"94",625
"95",481
"96",598
"97",518
"98",576
"99",537
"100",580
"101",478
"102",541
"103",552
"104",537
"105",529
"106",549
"107",471
"108",516
"109",494
"110",616
"111",504
"112",551
"113",551
"114",631
"115",439
"116",622
"117",588
"118",756
"119",475
"120",577
"121",534
"122",901
"123",566
"124",402
"125",701
"126",484
"127",495
"128",632
"129",606
"130",578
"131",742
"132",598
"133",531
"134",555
"135",356
"136",468
"137",593
"138",436
"139",498
"140",392
"141",410
"142",491
"143",447
"144",525
"145",640
"146",584
"147",519
"148",436
"149",713
"150",490
"151",440
"152",697
"153",691
"154",571
"155",657
"156",686
"157",702
"158",710
"159",641
"160",478
"161",433
"162",625
"163",529
"164",577
"165",638
"166",571
"167",678
"168",601
"169",518
"170",659
"171",475
"172",390
"173",473
"174",677
"175",517
"176",449
"177",514
"178",437
"179",567
"180",551
"181",548
"182",612
"183",466
"184",663
"185",468
"186",479
"187",455
"188",476
"189",570
"190",392
"191",498
"192",469
"193",637
"194",512
"195",738
"196",602
"197",424
"198",418
"199",859
"200",469
"201",574
"202",871
"203",530
"204",671
"205",607
"206",596
"207",485
"208",652
"209",745
"210",611
"211",729
"212",656
"213",886
"214",628
"215",799
"216",782
"217",634
"218",492
"219",502
"220",430
"221",702
"222",570
